"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"10.04.2026","9,68","9,68","9,68","9,60","33,01M","10,00%"
"09.04.2026","8,80","8,05","8,80","7,96","82,54M","10,00%"
"08.04.2026","8,00","7,97","8,12","7,93","62,84M","2,83%"
"07.04.2026","7,78","7,74","8,12","7,73","84,19M","0,91%"
"06.04.2026","7,71","7,76","7,83","7,61","55,96M","-0,77%"
"03.04.2026","7,77","8,09","8,12","7,77","59,65M","-3,96%"
"02.04.2026","8,09","8,06","8,22","8,02","87,56M","-6,37%"
"01.04.2026","8,64","8,80","8,87","8,50","41,38M","0,23%"
"31.03.2026","8,62","8,60","8,79","8,58","38,20M","0,47%"
"30.03.2026","8,58","8,64","8,78","8,57","34,66M","-0,69%"
"27.03.2026","8,64","8,78","8,87","8,53","30,77M","-1,59%"
"26.03.2026","8,78","9,08","9,12","8,78","31,21M","-3,20%"
"25.03.2026","9,07","9,15","9,39","9,05","48,59M","-0,11%"
"24.03.2026","9,08","9,27","9,39","9,06","25,50M","-2,05%"
"23.03.2026","9,27","9,22","9,35","8,84","47,69M","0,32%"
"19.03.2026","9,24","8,94","9,24","8,79","17,98M","2,67%"
"18.03.2026","9,00","8,92","9,02","8,84","23,52M","1,01%"
"17.03.2026","8,91","8,77","9,01","8,75","36,10M","2,06%"
"16.03.2026","8,73","8,79","8,91","8,64","21,01M","-0,46%"
"13.03.2026","8,77","9,01","9,04","8,67","34,62M","-2,66%"
"12.03.2026","9,01","8,80","9,33","8,68","72,55M","2,39%"
"11.03.2026","8,80","8,67","9,03","8,61","37,80M","1,50%"
"10.03.2026","8,67","8,46","8,74","8,38","35,84M","4,84%"
"09.03.2026","8,27","8,25","8,32","8,04","40,44M","-2,71%"
"06.03.2026","8,50","8,78","8,79","8,50","31,14M","-2,75%"
"05.03.2026","8,74","8,63","8,88","8,63","38,56M","1,86%"
"04.03.2026","8,58","8,65","8,75","8,54","42,84M","0,12%"
"03.03.2026","8,57","8,75","8,89","8,57","43,36M","-2,06%"
"02.03.2026","8,75","8,60","9,01","8,60","51,46M","-6,91%"
"27.02.2026","9,40","9,67","9,72","9,37","64,22M","-2,49%"
"26.02.2026","9,64","9,59","9,76","9,55","51,81M","0,21%"
"25.02.2026","9,62","9,90","9,91","9,62","46,30M","-2,43%"
"24.02.2026","9,86","10,06","10,06","9,85","31,53M","-1,50%"
"23.02.2026","10,01","10,07","10,16","9,88","50,08M","-0,20%"
"20.02.2026","10,03","10,04","10,09","9,82","44,53M","-0,20%"
"19.02.2026","10,05","10,25","10,33","9,74","81,74M","-1,95%"
"18.02.2026","10,25","10,42","10,61","10,16","123,48M","-7,49%"
"17.02.2026","11,08","11,00","11,44","10,99","135,84M","1,19%"
"16.02.2026","10,95","11,00","11,12","10,85","93,44M","-0,09%"
"13.02.2026","10,96","11,26","11,26","10,78","108,88M","-0,81%"
"12.02.2026","11,05","10,55","11,31","10,52","195,33M","5,34%"
"11.02.2026","10,49","10,11","10,71","9,96","190,05M","3,76%"
"10.02.2026","10,11","10,15","10,40","9,99","97,15M","0,40%"
"09.02.2026","10,07","9,90","10,13","9,83","112,22M","2,34%"
"06.02.2026","9,84","10,39","10,41","9,76","115,08M","-5,38%"
"05.02.2026","10,40","10,30","10,72","10,06","204,58M","0,97%"
"04.02.2026","10,30","9,85","10,57","9,80","407,76M","7,18%"
"03.02.2026","9,61","9,63","9,73","9,58","51,27M","0,21%"
"02.02.2026","9,59","9,65","9,69","9,49","50,06M","-1,94%"
"30.01.2026","9,78","10,05","10,07","9,74","74,35M","-2,40%"
"29.01.2026","10,02","9,76","10,30","9,67","178,89M","4,05%"
"28.01.2026","9,63","9,72","9,73","9,62","56,68M","-0,41%"
"27.01.2026","9,67","9,61","9,99","9,61","108,35M","0,83%"
"26.01.2026","9,59","9,71","9,74","9,51","62,28M","-1,03%"
"23.01.2026","9,69","9,77","9,86","9,66","65,88M","-0,10%"
"22.01.2026","9,70","9,69","9,78","9,58","46,13M","0,52%"
"21.01.2026","9,65","9,96","9,98","9,63","54,01M","-3,02%"
"20.01.2026","9,95","10,09","10,10","9,82","50,27M","-1,39%"
"19.01.2026","10,09","10,15","10,26","10,05","54,78M","0,00%"
"16.01.2026","10,09","10,15","10,18","10,03","48,91M","-0,10%"
"15.01.2026","10,10","10,00","10,30","9,98","80,53M","1,41%"
"14.01.2026","9,96","10,18","10,33","9,96","86,03M","-1,78%"
"13.01.2026","10,14","10,15","10,29","10,07","68,31M","-0,10%"
"12.01.2026","10,15","10,35","10,49","10,14","78,01M","-1,74%"
